receptor,receiver_celltype,PE_pregnancy_n,PE_detected_n,PE_detected_proportion,control_pregnancy_n,control_detected_n,control_detected_proportion,PE_median_mean_normalized_expression,control_median_mean_normalized_expression,PE_donor_expression,control_donor_expression,receptor_competence,competence_rule,receptor_mapping_source,evidence_confidence,source_url
ABCA1,HOFBAUER,17,17,1.0,9,9,1.0,3.1251184834123222,3.098360655737705,PE_early_1:5.61179;PE_early_10:2.24164;PE_early_2:2.61905;PE_early_3:2.56863;PE_early_4:1.2027;PE_early_5:3.44737;PE_early_6:4.91579;PE_early_7:4.67073;PE_early_8:2.6347;PE_early_9:3.55376;PE_late_1:3.08654;PE_late_2:3.97059;PE_late_3:3.8107;PE_late_4:3.90909;PE_late_5:1.91613;PE_late_6:3.12512;PE_late_7:2.20751,control_early_1:3.83988;control_early_2:3.87306;control_early_3:2.19175;control_3:2.39683;control_4:3.09836;control_5:4.405;control_6:3.06875;control_7:2.95015;control_8:3.16529,RECEPTOR_COMPETENT,patient mean>=0.1; COMPETENT if >=50% and >=3 PE pregnancies; WEAK if >=20% or >=2,NicheNet-v2 LR network gene symbols,PREGNANCY_LEVEL_PUBLIC_NORMALIZED_EXPRESSION,data/interim/phase2a/admati_harmonized_pseudobulk_counts.csv|results/02_phase2a/metadata/pseudobulk_eligibility.csv
ACKR1,HOFBAUER,17,0,0.0,9,0,0.0,0.0,0.0,PE_early_1:0;PE_early_10:0.0111524;PE_early_2:0;PE_early_3:0;PE_early_4:0;PE_early_5:0.0131579;PE_early_6:0.00526316;PE_early_7:0;PE_early_8:0.0228311;PE_early_9:0;PE_late_1:0;PE_late_2:0.0205882;PE_late_3:0;PE_late_4:0;PE_late_5:0.0129032;PE_late_6:0.00189573;PE_late_7:0,control_early_1:0;control_early_2:0.0388601;control_early_3:0.0145631;control_3:0;control_4:0;control_5:0.035;control_6:0.025;control_7:0;control_8:0,RECEPTOR_NOT_SUPPORTED,patient mean>=0.1; COMPETENT if >=50% and >=3 PE pregnancies; WEAK if >=20% or >=2,NicheNet-v2 LR network gene symbols,PREGNANCY_LEVEL_PUBLIC_NORMALIZED_EXPRESSION,data/interim/phase2a/admati_harmonized_pseudobulk_counts.csv|results/02_phase2a/metadata/pseudobulk_eligibility.csv
ACKR2,HOFBAUER,17,0,0.0,9,0,0.0,0.005687203791469194,0.012396694214876033,PE_early_1:0.02457;PE_early_10:0.00743494;PE_early_2:0.031746;PE_early_3:0;PE_early_4:0;PE_early_5:0;PE_early_6:0.00526316;PE_early_7:0.0231707;PE_early_8:0.0410959;PE_early_9:0.0752688;PE_late_1:0.00961538;PE_late_2:0;PE_late_3:0;PE_late_4:0;PE_late_5:0;PE_late_6:0.0056872;PE_late_7:0.0353201,control_early_1:0.0483384;control_early_2:0.00518135;control_early_3:0.0303398;control_3:0;control_4:0.0655738;control_5:0;control_6:0.0125;control_7:0.0117302;control_8:0.0123967,RECEPTOR_NOT_SUPPORTED,patient mean>=0.1; COMPETENT if >=50% and >=3 PE pregnancies; WEAK if >=20% or >=2,NicheNet-v2 LR network gene symbols,PREGNANCY_LEVEL_PUBLIC_NORMALIZED_EXPRESSION,data/interim/phase2a/admati_harmonized_pseudobulk_counts.csv|results/02_phase2a/metadata/pseudobulk_eligibility.csv
ACKR3,HOFBAUER,17,0,0.0,9,0,0.0,0.011363636363636364,0.0,PE_early_1:0.004914;PE_early_10:0;PE_early_2:0.015873;PE_early_3:0;PE_early_4:0.027027;PE_early_5:0.0197368;PE_early_6:0.0157895;PE_early_7:0.0219512;PE_early_8:0.0319635;PE_early_9:0;PE_late_1:0;PE_late_2:0;PE_late_3:0.0164609;PE_late_4:0.0113636;PE_late_5:0;PE_late_6:0.00379147;PE_late_7:0.0596026,control_early_1:0.00906344;control_early_2:0;control_early_3:0.0133495;control_3:0;control_4:0;control_5:0.02;control_6:0;control_7:0.0058651;control_8:0,RECEPTOR_NOT_SUPPORTED,patient mean>=0.1; COMPETENT if >=50% and >=3 PE pregnancies; WEAK if >=20% or >=2,NicheNet-v2 LR network gene symbols,PREGNANCY_LEVEL_PUBLIC_NORMALIZED_EXPRESSION,data/interim/phase2a/admati_harmonized_pseudobulk_counts.csv|results/02_phase2a/metadata/pseudobulk_eligibility.csv
ACKR4,HOFBAUER,17,0,0.0,9,0,0.0,0.0,0.0,PE_early_1:0;PE_early_10:0;PE_early_2:0;PE_early_3:0;PE_early_4:0;PE_early_5:0.0131579;PE_early_6:0;PE_early_7:0.00243902;PE_early_8:0.0182648;PE_early_9:0.0215054;PE_late_1:0;PE_late_2:0.0117647;PE_late_3:0;PE_late_4:0.0113636;PE_late_5:0;PE_late_6:0.0056872;PE_late_7:0,control_early_1:0;control_early_2:0.00518135;control_early_3:0;control_3:0;control_4:0;control_5:0;control_6:0;control_7:0.00879765;control_8:0,RECEPTOR_NOT_SUPPORTED,patient mean>=0.1; COMPETENT if >=50% and >=3 PE pregnancies; WEAK if >=20% or >=2,NicheNet-v2 LR network gene symbols,PREGNANCY_LEVEL_PUBLIC_NORMALIZED_EXPRESSION,data/interim/phase2a/admati_harmonized_pseudobulk_counts.csv|results/02_phase2a/metadata/pseudobulk_eligibility.csv
ACVR1,HOFBAUER,17,11,0.6470588235294118,9,6,0.6666666666666666,0.1264705882352941,0.11436950146627566,PE_early_1:0.140049;PE_early_10:0.0966543;PE_early_2:0.0793651;PE_early_3:0.0392157;PE_early_4:0.135135;PE_early_5:0.105263;PE_early_6:0.428947;PE_early_7:0.176829;PE_early_8:0.146119;PE_early_9:0.0913978;PE_late_1:0.149038;PE_late_2:0.126471;PE_late_3:0.127572;PE_late_4:0.130682;PE_late_5:0.0580645;PE_late_6:0.121327;PE_late_7:0.0507726,control_early_1:0.0906344;control_early_2:0.119171;control_early_3:0.0995146;control_3:0.047619;control_4:0.114754;control_5:0.105;control_6:0.11875;control_7:0.11437;control_8:0.169421,RECEPTOR_COMPETENT,patient mean>=0.1; COMPETENT if >=50% and >=3 PE pregnancies; WEAK if >=20% or >=2,NicheNet-v2 LR network gene symbols,PREGNANCY_LEVEL_PUBLIC_NORMALIZED_EXPRESSION,data/interim/phase2a/admati_harmonized_pseudobulk_counts.csv|results/02_phase2a/metadata/pseudobulk_eligibility.csv
ACVR1B,HOFBAUER,17,15,0.8823529411764706,9,4,0.4444444444444444,0.13529411764705881,0.08677685950413223,PE_early_1:0.140049;PE_early_10:0.126394;PE_early_2:0.190476;PE_early_3:0.235294;PE_early_4:0.202703;PE_early_5:0.144737;PE_early_6:0.128947;PE_early_7:0.181707;PE_early_8:0.105023;PE_early_9:0.129032;PE_late_1:0.153846;PE_late_2:0.135294;PE_late_3:0.102881;PE_late_4:0.0738636;PE_late_5:0.2;PE_late_6:0.1109;PE_late_7:0.0794702,control_early_1:0.126888;control_early_2:0.207254;control_early_3:0.122573;control_3:0.0793651;control_4:0.0819672;control_5:0.145;control_6:0.08125;control_7:0.085044;control_8:0.0867769,RECEPTOR_COMPETENT,patient mean>=0.1; COMPETENT if >=50% and >=3 PE pregnancies; WEAK if >=20% or >=2,NicheNet-v2 LR network gene symbols,PREGNANCY_LEVEL_PUBLIC_NORMALIZED_EXPRESSION,data/interim/phase2a/admati_harmonized_pseudobulk_counts.csv|results/02_phase2a/metadata/pseudobulk_eligibility.csv
ACVR1C,HOFBAUER,17,0,0.0,9,0,0.0,0.0,0.0,PE_early_1:0;PE_early_10:0;PE_early_2:0;PE_early_3:0;PE_early_4:0;PE_early_5:0;PE_early_6:0;PE_early_7:0;PE_early_8:0;PE_early_9:0;PE_late_1:0;PE_late_2:0;PE_late_3:0;PE_late_4:0;PE_late_5:0;PE_late_6:0;PE_late_7:0,control_early_1:0;control_early_2:0;control_early_3:0;control_3:0;control_4:0;control_5:0;control_6:0;control_7:0;control_8:0,RECEPTOR_NOT_SUPPORTED,patient mean>=0.1; COMPETENT if >=50% and >=3 PE pregnancies; WEAK if >=20% or >=2,NicheNet-v2 LR network gene symbols,PREGNANCY_LEVEL_PUBLIC_NORMALIZED_EXPRESSION,data/interim/phase2a/admati_harmonized_pseudobulk_counts.csv|results/02_phase2a/metadata/pseudobulk_eligibility.csv
ACVR2A,HOFBAUER,17,17,1.0,9,8,0.8888888888888888,0.29411764705882354,0.359504132231405,PE_early_1:0.457002;PE_early_10:0.271375;PE_early_2:0.507937;PE_early_3:0.294118;PE_early_4:0.256757;PE_early_5:0.361842;PE_early_6:0.186842;PE_early_7:0.257317;PE_early_8:0.324201;PE_early_9:0.268817;PE_late_1:0.403846;PE_late_2:0.552941;PE_late_3:0.572016;PE_late_4:0.193182;PE_late_5:0.225806;PE_late_6:0.305213;PE_late_7:0.229581,control_early_1:0.081571;control_early_2:0.551813;control_early_3:0.285194;control_3:0.539683;control_4:0.47541;control_5:0.345;control_6:0.46875;control_7:0.302053;control_8:0.359504,RECEPTOR_COMPETENT,patient mean>=0.1; COMPETENT if >=50% and >=3 PE pregnancies; WEAK if >=20% or >=2,NicheNet-v2 LR network gene symbols,PREGNANCY_LEVEL_PUBLIC_NORMALIZED_EXPRESSION,data/interim/phase2a/admati_harmonized_pseudobulk_counts.csv|results/02_phase2a/metadata/pseudobulk_eligibility.csv
ACVR2B,HOFBAUER,17,9,0.5294117647058824,9,6,0.6666666666666666,0.10426540284360189,0.11875,PE_early_1:0.027027;PE_early_10:0.107807;PE_early_2:0.0634921;PE_early_3:0.117647;PE_early_4:0.0405405;PE_early_5:0.0789474;PE_early_6:0.115789;PE_early_7:0.110976;PE_early_8:0.0776256;PE_early_9:0.123656;PE_late_1:0.0576923;PE_late_2:0.147059;PE_late_3:0.0534979;PE_late_4:0.125;PE_late_5:0.0774194;PE_late_6:0.104265;PE_late_7:0.134658,control_early_1:0.0906344;control_early_2:0.132124;control_early_3:0.14199;control_3:0;control_4:0.131148;control_5:0;control_6:0.11875;control_7:0.102639;control_8:0.202479,RECEPTOR_COMPETENT,patient mean>=0.1; COMPETENT if >=50% and >=3 PE pregnancies; WEAK if >=20% or >=2,NicheNet-v2 LR network gene symbols,PREGNANCY_LEVEL_PUBLIC_NORMALIZED_EXPRESSION,data/interim/phase2a/admati_harmonized_pseudobulk_counts.csv|results/02_phase2a/metadata/pseudobulk_eligibility.csv
ACVRL1,HOFBAUER,17,7,0.4117647058823529,9,0,0.0,0.09293680297397769,0.06476683937823834,PE_early_1:0.186732;PE_early_10:0.0929368;PE_early_2:0.15873;PE_early_3:0.0980392;PE_early_4:0;PE_early_5:0.131579;PE_early_6:0.165789;PE_early_7:0.190244;PE_early_8:0.0502283;PE_early_9:0.0806452;PE_late_1:0.177885;PE_late_2:0.0294118;PE_late_3:0.0658436;PE_late_4:0.0284091;PE_late_5:0.0451613;PE_late_6:0.0199052;PE_late_7:0.163355,control_early_1:0.0241692;control_early_2:0.0647668;control_early_3:0.0910194;control_3:0.0952381;control_4:0;control_5:0.085;control_6:0.05625;control_7:0.0146628;control_8:0.0661157,RECEPTOR_WEAK,patient mean>=0.1; COMPETENT if >=50% and >=3 PE pregnancies; WEAK if >=20% or >=2,NicheNet-v2 LR network gene symbols,PREGNANCY_LEVEL_PUBLIC_NORMALIZED_EXPRESSION,data/interim/phase2a/admati_harmonized_pseudobulk_counts.csv|results/02_phase2a/metadata/pseudobulk_eligibility.csv
ADAM10,HOFBAUER,17,17,1.0,9,9,1.0,2.1026315789473684,2.4574780058651027,PE_early_1:3.55528;PE_early_10:1.93309;PE_early_2:2.07937;PE_early_3:1.86275;PE_early_4:1.7027;PE_early_5:2.03947;PE_early_6:2.10263;PE_early_7:2.58415;PE_early_8:1.92237;PE_early_9:2.66667;PE_late_1:2.71635;PE_late_2:2.86765;PE_late_3:2.80247;PE_late_4:2.58523;PE_late_5:1.83226;PE_late_6:1.98863;PE_late_7:2.29581,control_early_1:2.18731;control_early_2:2.48705;control_early_3:2.05825;control_3:3.55556;control_4:2.77049;control_5:3.74;control_6:1.98125;control_7:2.45748;control_8:1.92975,RECEPTOR_COMPETENT,patient mean>=0.1; COMPETENT if >=50% and >=3 PE pregnancies; WEAK if >=20% or >=2,NicheNet-v2 LR network gene symbols,PREGNANCY_LEVEL_PUBLIC_NORMALIZED_EXPRESSION,data/interim/phase2a/admati_harmonized_pseudobulk_counts.csv|results/02_phase2a/metadata/pseudobulk_eligibility.csv
ADAM12,HOFBAUER,17,8,0.47058823529411764,9,0,0.0,0.09876543209876543,0.0691747572815534,PE_early_1:0.19656;PE_early_10:0.0743494;PE_early_2:0.111111;PE_early_3:0.196078;PE_early_4:0.027027;PE_early_5:0.0394737;PE_early_6:0.0315789;PE_early_7:0.436585;PE_early_8:0.155251;PE_early_9:0.172043;PE_late_1:0.105769;PE_late_2:0.0588235;PE_late_3:0.0987654;PE_late_4:0.0454545;PE_late_5:0.0129032;PE_late_6:0.00758294;PE_late_7:0.136865,control_early_1:0.0906344;control_early_2:0.0751295;control_early_3:0.0691748;control_3:0;control_4:0.0327869;control_5:0.08;control_6:0.09375;control_7:0.0498534;control_8:0.0619835,RECEPTOR_WEAK,patient mean>=0.1; COMPETENT if >=50% and >=3 PE pregnancies; WEAK if >=20% or >=2,NicheNet-v2 LR network gene symbols,PREGNANCY_LEVEL_PUBLIC_NORMALIZED_EXPRESSION,data/interim/phase2a/admati_harmonized_pseudobulk_counts.csv|results/02_phase2a/metadata/pseudobulk_eligibility.csv
ADAM19,HOFBAUER,17,0,0.0,9,0,0.0,0.0,0.0,PE_early_1:0.00982801;PE_early_10:0;PE_early_2:0;PE_early_3:0;PE_early_4:0;PE_early_5:0;PE_early_6:0.0184211;PE_early_7:0.0170732;PE_early_8:0.00913242;PE_early_9:0;PE_late_1:0.0240385;PE_late_2:0;PE_late_3:0;PE_late_4:0;PE_late_5:0;PE_late_6:0.0104265;PE_late_7:0,control_early_1:0;control_early_2:0.0207254;control_early_3:0.00485437;control_3:0;control_4:0;control_5:0;control_6:0.025;control_7:0;control_8:0,RECEPTOR_NOT_SUPPORTED,patient mean>=0.1; COMPETENT if >=50% and >=3 PE pregnancies; WEAK if >=20% or >=2,NicheNet-v2 LR network gene symbols,PREGNANCY_LEVEL_PUBLIC_NORMALIZED_EXPRESSION,data/interim/phase2a/admati_harmonized_pseudobulk_counts.csv|results/02_phase2a/metadata/pseudobulk_eligibility.csv
ADAM2,HOFBAUER,17,0,0.0,9,0,0.0,0.0,0.0,PE_early_1:0;PE_early_10:0;PE_early_2:0;PE_early_3:0;PE_early_4:0;PE_early_5:0;PE_early_6:0;PE_early_7:0;PE_early_8:0;PE_early_9:0;PE_late_1:0;PE_late_2:0;PE_late_3:0;PE_late_4:0;PE_late_5:0;PE_late_6:0;PE_late_7:0,control_early_1:0;control_early_2:0;control_early_3:0;control_3:0;control_4:0;control_5:0;control_6:0;control_7:0;control_8:0,RECEPTOR_NOT_SUPPORTED,patient mean>=0.1; COMPETENT if >=50% and >=3 PE pregnancies; WEAK if >=20% or >=2,NicheNet-v2 LR network gene symbols,PREGNANCY_LEVEL_PUBLIC_NORMALIZED_EXPRESSION,data/interim/phase2a/admati_harmonized_pseudobulk_counts.csv|results/02_phase2a/metadata/pseudobulk_eligibility.csv
ADAM9,HOFBAUER,17,17,1.0,9,9,1.0,3.226044226044226,2.9667673716012084,PE_early_1:3.22604;PE_early_10:3.32342;PE_early_2:2.88889;PE_early_3:2;PE_early_4:2.74324;PE_early_5:3.13816;PE_early_6:3.45789;PE_early_7:3.78171;PE_early_8:3.18265;PE_early_9:3.27419;PE_late_1:3.3125;PE_late_2:3.22941;PE_late_3:2.60905;PE_late_4:3.65909;PE_late_5:2.92903;PE_late_6:3.08057;PE_late_7:3.2362,control_early_1:2.96677;control_early_2:2.79793;control_early_3:3.44539;control_3:2.85714;control_4:3.13115;control_5:3.465;control_6:2.73125;control_7:3.17889;control_8:2.92149,RECEPTOR_COMPETENT,patient mean>=0.1; COMPETENT if >=50% and >=3 PE pregnancies; WEAK if >=20% or >=2,NicheNet-v2 LR network gene symbols,PREGNANCY_LEVEL_PUBLIC_NORMALIZED_EXPRESSION,data/interim/phase2a/admati_harmonized_pseudobulk_counts.csv|results/02_phase2a/metadata/pseudobulk_eligibility.csv
ADAMTS1,HOFBAUER,17,11,0.6470588235294118,9,7,0.7777777777777778,0.1547911547911548,0.19834710743801653,PE_early_1:0.154791;PE_early_10:0.312268;PE_early_2:0.0952381;PE_early_3:0.156863;PE_early_4:0.108108;PE_early_5:0.0855263;PE_early_6:0.0789474;PE_early_7:0.22561;PE_early_8:0.39726;PE_early_9:0.526882;PE_late_1:0.307692;PE_late_2:0.0470588;PE_late_3:0.123457;PE_late_4:0.181818;PE_late_5:0.0580645;PE_late_6:0.0815166;PE_late_7:0.388521,control_early_1:0.247734;control_early_2:0.329016;control_early_3:0.231796;control_3:0.111111;control_4:0.0983607;control_5:0.12;control_6:0.23125;control_7:0.0909091;control_8:0.198347,RECEPTOR_COMPETENT,patient mean>=0.1; COMPETENT if >=50% and >=3 PE pregnancies; WEAK if >=20% or >=2,NicheNet-v2 LR network gene symbols,PREGNANCY_LEVEL_PUBLIC_NORMALIZED_EXPRESSION,data/interim/phase2a/admati_harmonized_pseudobulk_counts.csv|results/02_phase2a/metadata/pseudobulk_eligibility.csv
ADCY1,HOFBAUER,17,0,0.0,9,0,0.0,0.0,0.0048543689320388345,PE_early_1:0;PE_early_10:0.00743494;PE_early_2:0;PE_early_3:0;PE_early_4:0;PE_early_5:0;PE_early_6:0;PE_early_7:0.0158537;PE_early_8:0;PE_early_9:0;PE_late_1:0;PE_late_2:0;PE_late_3:0;PE_late_4:0;PE_late_5:0;PE_late_6:0;PE_late_7:0.00441501,control_early_1:0.00906344;control_early_2:0;control_early_3:0.00485437;control_3:0.047619;control_4:0;control_5:0.025;control_6:0;control_7:0;control_8:0.0206612,RECEPTOR_NOT_SUPPORTED,patient mean>=0.1; COMPETENT if >=50% and >=3 PE pregnancies; WEAK if >=20% or >=2,NicheNet-v2 LR network gene symbols,PREGNANCY_LEVEL_PUBLIC_NORMALIZED_EXPRESSION,data/interim/phase2a/admati_harmonized_pseudobulk_counts.csv|results/02_phase2a/metadata/pseudobulk_eligibility.csv
ADCY2,HOFBAUER,17,0,0.0,9,0,0.0,0.0,0.0,PE_early_1:0.004914;PE_early_10:0;PE_early_2:0;PE_early_3:0;PE_early_4:0.027027;PE_early_5:0;PE_early_6:0.00526316;PE_early_7:0.00243902;PE_early_8:0.0136986;PE_early_9:0;PE_late_1:0;PE_late_2:0;PE_late_3:0.0164609;PE_late_4:0;PE_late_5:0;PE_late_6:0.00189573;PE_late_7:0.00662252,control_early_1:0;control_early_2:0;control_early_3:0.0182039;control_3:0;control_4:0;control_5:0;control_6:0;control_7:0.0205279;control_8:0,RECEPTOR_NOT_SUPPORTED,patient mean>=0.1; COMPETENT if >=50% and >=3 PE pregnancies; WEAK if >=20% or >=2,NicheNet-v2 LR network gene symbols,PREGNANCY_LEVEL_PUBLIC_NORMALIZED_EXPRESSION,data/interim/phase2a/admati_harmonized_pseudobulk_counts.csv|results/02_phase2a/metadata/pseudobulk_eligibility.csv
ADCY5,HOFBAUER,17,0,0.0,9,0,0.0,0.0,0.0,PE_early_1:0;PE_early_10:0;PE_early_2:0;PE_early_3:0;PE_early_4:0;PE_early_5:0;PE_early_6:0;PE_early_7:0.00243902;PE_early_8:0;PE_early_9:0;PE_late_1:0;PE_late_2:0.0117647;PE_late_3:0;PE_late_4:0.00568182;PE_late_5:0.0322581;PE_late_6:0.00663507;PE_late_7:0,control_early_1:0;control_early_2:0.00518135;control_early_3:0;control_3:0;control_4:0;control_5:0;control_6:0.03125;control_7:0;control_8:0,RECEPTOR_NOT_SUPPORTED,patient mean>=0.1; COMPETENT if >=50% and >=3 PE pregnancies; WEAK if >=20% or >=2,NicheNet-v2 LR network gene symbols,PREGNANCY_LEVEL_PUBLIC_NORMALIZED_EXPRESSION,data/interim/phase2a/admati_harmonized_pseudobulk_counts.csv|results/02_phase2a/metadata/pseudobulk_eligibility.csv
ADCY6,HOFBAUER,17,2,0.11764705882352941,9,0,0.0,0.06451612903225806,0.04833836858006042,PE_early_1:0.0884521;PE_early_10:0.0669145;PE_early_2:0.047619;PE_early_3:0;PE_early_4:0.162162;PE_early_5:0.0526316;PE_early_6:0.121053;PE_early_7:0.0890244;PE_early_8:0.0776256;PE_early_9:0.0645161;PE_late_1:0.0721154;PE_late_2:0.0558824;PE_late_3:0.0493827;PE_late_4:0.0397727;PE_late_5:0.0774194;PE_late_6:0.0436019;PE_late_7:0.0529801,control_early_1:0.0483384;control_early_2:0.0518135;control_early_3:0.0606796;control_3:0.047619;control_4:0.0983607;control_5:0.03;control_6:0.06875;control_7:0.0351906;control_8:0,RECEPTOR_WEAK,patient mean>=0.1; COMPETENT if >=50% and >=3 PE pregnancies; WEAK if >=20% or >=2,NicheNet-v2 LR network gene symbols,PREGNANCY_LEVEL_PUBLIC_NORMALIZED_EXPRESSION,data/interim/phase2a/admati_harmonized_pseudobulk_counts.csv|results/02_phase2a/metadata/pseudobulk_eligibility.csv
ADCY8,HOFBAUER,17,0,0.0,9,0,0.0,0.0,0.0,PE_early_1:0;PE_early_10:0;PE_early_2:0;PE_early_3:0;PE_early_4:0;PE_early_5:0;PE_early_6:0;PE_early_7:0;PE_early_8:0;PE_early_9:0;PE_late_1:0;PE_late_2:0;PE_late_3:0;PE_late_4:0;PE_late_5:0;PE_late_6:0;PE_late_7:0,control_early_1:0;control_early_2:0;control_early_3:0;control_3:0;control_4:0;control_5:0;control_6:0;control_7:0;control_8:0,RECEPTOR_NOT_SUPPORTED,patient mean>=0.1; COMPETENT if >=50% and >=3 PE pregnancies; WEAK if >=20% or >=2,NicheNet-v2 LR network gene symbols,PREGNANCY_LEVEL_PUBLIC_NORMALIZED_EXPRESSION,data/interim/phase2a/admati_harmonized_pseudobulk_counts.csv|results/02_phase2a/metadata/pseudobulk_eligibility.csv
ADCY9,HOFBAUER,17,0,0.0,9,1,0.1111111111111111,0.02631578947368421,0.026392961876832845,PE_early_1:0.004914;PE_early_10:0.00743494;PE_early_2:0.0634921;PE_early_3:0;PE_early_4:0.027027;PE_early_5:0.0263158;PE_early_6:0.0342105;PE_early_7:0.0158537;PE_early_8:0.0410959;PE_early_9:0;PE_late_1:0.0240385;PE_late_2:0.0411765;PE_late_3:0.0329218;PE_late_4:0.0227273;PE_late_5:0.0258065;PE_late_6:0.0350711;PE_late_7:0.0441501,control_early_1:0.00906344;control_early_2:0.00518135;control_early_3:0.0230583;control_3:0.031746;control_4:0.0491803;control_5:0.09;control_6:0.10625;control_7:0.026393;control_8:0,RECEPTOR_NOT_SUPPORTED,patient mean>=0.1; COMPETENT if >=50% and >=3 PE pregnancies; WEAK if >=20% or >=2,NicheNet-v2 LR network gene symbols,PREGNANCY_LEVEL_PUBLIC_NORMALIZED_EXPRESSION,data/interim/phase2a/admati_harmonized_pseudobulk_counts.csv|results/02_phase2a/metadata/pseudobulk_eligibility.csv
ADGRE2,HOFBAUER,17,17,1.0,9,8,0.8888888888888888,0.25806451612903225,0.28512396694214875,PE_early_1:0.530713;PE_early_10:0.234201;PE_early_2:0.253968;PE_early_3:0.392157;PE_early_4:0.351351;PE_early_5:0.335526;PE_early_6:0.828947;PE_early_7:0.107317;PE_early_8:0.123288;PE_early_9:0.258065;PE_late_1:0.173077;PE_late_2:0.382353;PE_late_3:0.205761;PE_late_4:0.511364;PE_late_5:0.148387;PE_late_6:0.24455;PE_late_7:0.609272,control_early_1:0.332326;control_early_2:0.209845;control_early_3:0.105583;control_3:0.301587;control_4:0.409836;control_5:0.085;control_6:0.375;control_7:0.214076;control_8:0.285124,RECEPTOR_COMPETENT,patient mean>=0.1; COMPETENT if >=50% and >=3 PE pregnancies; WEAK if >=20% or >=2,NicheNet-v2 LR network gene symbols,PREGNANCY_LEVEL_PUBLIC_NORMALIZED_EXPRESSION,data/interim/phase2a/admati_harmonized_pseudobulk_counts.csv|results/02_phase2a/metadata/pseudobulk_eligibility.csv
ADGRE5,HOFBAUER,17,17,1.0,9,9,1.0,0.7894736842105263,0.7357512953367875,PE_early_1:1.0688;PE_early_10:0.702602;PE_early_2:0.412698;PE_early_3:0.607843;PE_early_4:1.08108;PE_early_5:0.789474;PE_early_6:0.489474;PE_early_7:0.420732;PE_early_8:0.894977;PE_early_9:0.709677;PE_late_1:0.798077;PE_late_2:0.597059;PE_late_3:2.01646;PE_late_4:1.41477;PE_late_5:0.464516;PE_late_6:1.31659;PE_late_7:1.03753,control_early_1:0.691843;control_early_2:0.735751;control_early_3:0.622573;control_3:0.904762;control_4:1.04918;control_5:0.55;control_6:0.71875;control_7:0.777126;control_8:1.02479,RECEPTOR_COMPETENT,patient mean>=0.1; COMPETENT if >=50% and >=3 PE pregnancies; WEAK if >=20% or >=2,NicheNet-v2 LR network gene symbols,PREGNANCY_LEVEL_PUBLIC_NORMALIZED_EXPRESSION,data/interim/phase2a/admati_harmonized_pseudobulk_counts.csv|results/02_phase2a/metadata/pseudobulk_eligibility.csv
ADGRG1,HOFBAUER,17,12,0.7058823529411765,9,4,0.4444444444444444,0.17307692307692307,0.095,PE_early_1:0.176904;PE_early_10:0.185874;PE_early_2:0.015873;PE_early_3:0.117647;PE_early_4:0.337838;PE_early_5:0.0131579;PE_early_6:0.144737;PE_early_7:0.463415;PE_early_8:0.3379;PE_early_9:0.435484;PE_late_1:0.173077;PE_late_2:0.0147059;PE_late_3:0.218107;PE_late_4:0.0681818;PE_late_5:0.0387097;PE_late_6:0.138389;PE_late_7:0.192053,control_early_1:0.41994;control_early_2:0.186528;control_early_3:0.123786;control_3:0;control_4:0.114754;control_5:0.095;control_6:0.03125;control_7:0.0058651;control_8:0.053719,RECEPTOR_COMPETENT,patient mean>=0.1; COMPETENT if >=50% and >=3 PE pregnancies; WEAK if >=20% or >=2,NicheNet-v2 LR network gene symbols,PREGNANCY_LEVEL_PUBLIC_NORMALIZED_EXPRESSION,data/interim/phase2a/admati_harmonized_pseudobulk_counts.csv|results/02_phase2a/metadata/pseudobulk_eligibility.csv
ADGRG5,HOFBAUER,17,0,0.0,9,0,0.0,0.0,0.0,PE_early_1:0;PE_early_10:0;PE_early_2:0;PE_early_3:0.0196078;PE_early_4:0.0405405;PE_early_5:0;PE_early_6:0;PE_early_7:0;PE_early_8:0;PE_early_9:0;PE_late_1:0;PE_late_2:0.00588235;PE_late_3:0;PE_late_4:0;PE_late_5:0.0129032;PE_late_6:0;PE_late_7:0,control_early_1:0;control_early_2:0;control_early_3:0;control_3:0;control_4:0;control_5:0;control_6:0.0125;control_7:0;control_8:0.0123967,RECEPTOR_NOT_SUPPORTED,patient mean>=0.1; COMPETENT if >=50% and >=3 PE pregnancies; WEAK if >=20% or >=2,NicheNet-v2 LR network gene symbols,PREGNANCY_LEVEL_PUBLIC_NORMALIZED_EXPRESSION,data/interim/phase2a/admati_harmonized_pseudobulk_counts.csv|results/02_phase2a/metadata/pseudobulk_eligibility.csv
