"gene","gse182_supported_donor_n","gse199_supported_donor_n","total_supported_donor_n","gse182_low_detected_donor_n","gse199_low_detected_donor_n","gse182_median_CPM","gse199_median_CPM","gse182_median_fraction","gse199_median_fraction","gse182_median_rank","gse199_median_rank","between_donor_log2cpm_sd","donor_variable_flag","baseline_classification","uc_median_rank","non_uc_median_rank","uc_minus_non_uc_rank","source_context_flag","robustness_rule","source_context_interpretation","source_url"
"SEMA6B",0,0,0,1,0,0.447737718365827,0,0.0113068950404341,0,0.588804713804714,0.211871393239901,0.330755550757761,"NO","NOT_RELIABLY_EXPRESSED",0.588804713804714,0.540404040404041,0.0484006734006734,"NO_LARGE_CONTEXT_SHIFT","GSE182158 2/2 plus GSE199071 >=3/4 donor support; CPM>=1 and expressing fraction>=0.10","DESCRIPTIVE_ONLY_NOT_CAUSAL_NOT_REQUIRED_FOR_ROBUSTNESS","results/03_phase3/baseline/baseline_ligand_expression_by_donor.csv|config/phase3_analysis.json"
"SEMA6C",0,0,0,1,1,0.436378167848382,0.458088442877785,0.0109906586959045,0.00799008901819692,0.612584175084175,0.616859027205276,0.1515816903628,"NO","MULTIDATASET_LOW_EXPRESSION",0.612584175084175,0.61026936026936,0.00231481481481477,"NO_LARGE_CONTEXT_SHIFT","GSE182158 2/2 plus GSE199071 >=3/4 donor support; CPM>=1 and expressing fraction>=0.10","DESCRIPTIVE_ONLY_NOT_CAUSAL_NOT_REQUIRED_FOR_ROBUSTNESS","results/03_phase3/baseline/baseline_ligand_expression_by_donor.csv|config/phase3_analysis.json"
"SEMA6D",0,0,0,1,0,1.23956555164399,0.0680902199265931,0.0303679186214281,0.00129505581683459,0.662247474747475,0.449093157460841,0.615931069441347,"NO","NOT_RELIABLY_EXPRESSED",0.662247474747475,0.752946127946128,-0.0906986531986532,"NO_LARGE_CONTEXT_SHIFT","GSE182158 2/2 plus GSE199071 >=3/4 donor support; CPM>=1 and expressing fraction>=0.10","DESCRIPTIVE_ONLY_NOT_CAUSAL_NOT_REQUIRED_FOR_ROBUSTNESS","results/03_phase3/baseline/baseline_ligand_expression_by_donor.csv|config/phase3_analysis.json"
"SEMA7A",0,4,4,2,4,1.19213602919123,25.6502024376378,0.0285329382975956,0.322577520105226,0.669823232323232,0.847073371805441,1.90551244031857,"NO","MULTIDATASET_LOW_EXPRESSION",0.669823232323232,0.704124579124579,-0.0343013468013469,"NO_LARGE_CONTEXT_SHIFT","GSE182158 2/2 plus GSE199071 >=3/4 donor support; CPM>=1 and expressing fraction>=0.10","DESCRIPTIVE_ONLY_NOT_CAUSAL_NOT_REQUIRED_FOR_ROBUSTNESS","results/03_phase3/baseline/baseline_ligand_expression_by_donor.csv|config/phase3_analysis.json"
"SERPINA1",0,0,0,0,0,0.168401340335124,0.107715630279072,0.00415895945797289,0.00176838317829333,0.551557239057239,0.52555647155812,0.0799274196072795,"NO","NOT_RELIABLY_EXPRESSED",0.551557239057239,0.482744107744108,0.0688131313131312,"NO_LARGE_CONTEXT_SHIFT","GSE182158 2/2 plus GSE199071 >=3/4 donor support; CPM>=1 and expressing fraction>=0.10","DESCRIPTIVE_ONLY_NOT_CAUSAL_NOT_REQUIRED_FOR_ROBUSTNESS","results/03_phase3/baseline/baseline_ligand_expression_by_donor.csv|config/phase3_analysis.json"
"SERPINA5",0,0,0,1,0,0.535649830679056,0,0.0125708096067521,0,0.620791245791246,0.199505358615004,0.347889733716642,"NO","NOT_RELIABLY_EXPRESSED",0.620791245791246,0.423821548821549,0.196969696969697,"NO_LARGE_CONTEXT_SHIFT","GSE182158 2/2 plus GSE199071 >=3/4 donor support; CPM>=1 and expressing fraction>=0.10","DESCRIPTIVE_ONLY_NOT_CAUSAL_NOT_REQUIRED_FOR_ROBUSTNESS","results/03_phase3/baseline/baseline_ligand_expression_by_donor.csv|config/phase3_analysis.json"
"SERPINC1",0,0,0,0,0,0.0309441089011003,0.0373072258365289,0.000781773241462928,0.000564477739556099,0.400673400673401,0.449299258037923,0.0350844844723253,"NO","NOT_RELIABLY_EXPRESSED",0.400673400673401,0.288299663299663,0.112373737373737,"NO_LARGE_CONTEXT_SHIFT","GSE182158 2/2 plus GSE199071 >=3/4 donor support; CPM>=1 and expressing fraction>=0.10","DESCRIPTIVE_ONLY_NOT_CAUSAL_NOT_REQUIRED_FOR_ROBUSTNESS","results/03_phase3/baseline/baseline_ligand_expression_by_donor.csv|config/phase3_analysis.json"
"SERPINE1",2,4,6,2,4,202.983005600322,1110.12874932271,0.680564588757035,0.94833040209314,0.932239057239057,0.989694971145919,1.94988568441282,"YES","ROBUST_BASELINE_SENDER",0.932239057239057,0.881734006734007,0.0505050505050505,"NO_LARGE_CONTEXT_SHIFT","GSE182158 2/2 plus GSE199071 >=3/4 donor support; CPM>=1 and expressing fraction>=0.10","DESCRIPTIVE_ONLY_NOT_CAUSAL_NOT_REQUIRED_FOR_ROBUSTNESS","results/03_phase3/baseline/baseline_ligand_expression_by_donor.csv|config/phase3_analysis.json"
"SERPINE2",2,4,6,2,4,507.471691896314,155.241448913503,0.975177637926997,0.695141773936077,0.975589225589226,0.949299258037922,0.935531280085782,"NO","ROBUST_BASELINE_SENDER",0.975589225589226,0.966750841750842,0.00883838383838376,"NO_LARGE_CONTEXT_SHIFT","GSE182158 2/2 plus GSE199071 >=3/4 donor support; CPM>=1 and expressing fraction>=0.10","DESCRIPTIVE_ONLY_NOT_CAUSAL_NOT_REQUIRED_FOR_ROBUSTNESS","results/03_phase3/baseline/baseline_ligand_expression_by_donor.csv|config/phase3_analysis.json"
"SERPINF1",2,1,3,2,4,544.924459711564,5.65892729148673,0.945972228258508,0.0756595408964309,0.970959595959596,0.74361088211047,3.31537272825991,"NO","MULTIDATASET_LOW_EXPRESSION",0.970959595959596,0.960016835016835,0.010942760942761,"NO_LARGE_CONTEXT_SHIFT","GSE182158 2/2 plus GSE199071 >=3/4 donor support; CPM>=1 and expressing fraction>=0.10","DESCRIPTIVE_ONLY_NOT_CAUSAL_NOT_REQUIRED_FOR_ROBUSTNESS","results/03_phase3/baseline/baseline_ligand_expression_by_donor.csv|config/phase3_analysis.json"
